category,mir,disease,mesh_name,pmid,causality
circulation_biomarker_diagnosis_down,hsa-mir-15a,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",15737576,no
circulation_biomarker_diagnosis_down,hsa-mir-16,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",15737576,no
circulation_biomarker_diagnosis_down,hsa-mir-143,Colon Neoplasms,Colonic Neoplasms,16195701,no
circulation_biomarker_diagnosis_down,hsa-mir-145,Colon Neoplasms,Colonic Neoplasms,16195701,no
circulation_biomarker_diagnosis_down,hsa-mir-223,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",16251535,no
circulation_biomarker_diagnosis_down,hsa-mir-29a,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",16251535,no
circulation_biomarker_diagnosis_down,hsa-mir-29c,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",16251535,no
circulation_biomarker_diagnosis_down,hsa-mir-10b,Breast Neoplasms,Breast Neoplasms,16466964,no
circulation_biomarker_diagnosis_down,hsa-mir-125b-1,Breast Neoplasms,Breast Neoplasms,16466964,no
circulation_biomarker_diagnosis_down,hsa-mir-125b-2,Breast Neoplasms,Breast Neoplasms,16466964,no
circulation_biomarker_diagnosis_down,hsa-mir-145,Breast Neoplasms,Breast Neoplasms,16466964,no
circulation_biomarker_diagnosis_down,hsa-mir-106,Leukemia,Leukemia,16549775,no
circulation_biomarker_diagnosis_down,hsa-mir-10a,Leukemia,Leukemia,16549775,no
circulation_biomarker_diagnosis_down,hsa-mir-10b,Leukemia,Leukemia,16549775,no
circulation_biomarker_diagnosis_down,hsa-mir-126,Leukemia,Leukemia,16549775,no
circulation_biomarker_diagnosis_down,hsa-mir-17,Leukemia,Leukemia,16549775,no
circulation_biomarker_diagnosis_down,hsa-mir-20,Leukemia,Leukemia,16549775,no
circulation_biomarker_diagnosis_down,hsa-let-7a-1,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-let-7a-2,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-let-7a-3,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-let-7b,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-let-7c,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-let-7d,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-let-7e,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-let-7f-1,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-let-7f-2,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-let-7g,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-let-7i,Lung Neoplasms,Lung Neoplasms,16712479,no
circulation_biomarker_diagnosis_down,hsa-mir-143,Colorectal Carcinoma,Colorectal Neoplasms,16847880,no
circulation_biomarker_diagnosis_down,hsa-mir-145,Colorectal Carcinoma,Colorectal Neoplasms,16847880,no
circulation_biomarker_diagnosis_down,hsa-mir-181a-2,"Leukemia, Promyelocytic, Acute","Leukemia, Promyelocytic, Acute",16847880,no
circulation_biomarker_diagnosis_down,hsa-mir-181b-1,"Leukemia, Promyelocytic, Acute","Leukemia, Promyelocytic, Acute",16847880,no
circulation_biomarker_diagnosis_down,hsa-mir-181b-2,"Leukemia, Promyelocytic, Acute","Leukemia, Promyelocytic, Acute",16847880,no
circulation_biomarker_diagnosis_down,hsa-mir-181d,"Leukemia, Promyelocytic, Acute","Leukemia, Promyelocytic, Acute",16847880,no
circulation_biomarker_diagnosis_down,hsa-mir-143,Colon Neoplasms,Colonic Neoplasms,16885332,no
circulation_biomarker_diagnosis_down,hsa-mir-145,Breast Neoplasms,Breast Neoplasms,16885332,no
circulation_biomarker_diagnosis_down,hsa-mir-155,Neoplasms [unspecific],Neoplasms,16885332,no
circulation_biomarker_diagnosis_down,hsa-mir-143,Colon Neoplasms,Colonic Neoplasms,16940181,no
circulation_biomarker_diagnosis_down,hsa-mir-145,Colon Neoplasms,Colonic Neoplasms,16940181,no
circulation_biomarker_diagnosis_down,hsa-mir-15a,Pituitary Neoplasms,Pituitary Neoplasms,17028302,no
circulation_biomarker_diagnosis_down,hsa-mir-15b,Pituitary Neoplasms,Pituitary Neoplasms,17028302,no
circulation_biomarker_diagnosis_down,hsa-mir-16-1,Pituitary Neoplasms,Pituitary Neoplasms,17028302,no
circulation_biomarker_diagnosis_down,hsa-mir-16-2,Pituitary Neoplasms,Pituitary Neoplasms,17028302,no
circulation_biomarker_diagnosis_down,hsa-let-7a-1,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7a-2,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7a-3,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7b,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7c,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7d,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7e,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7f-1,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7f-2,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7g,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7i,Lung Neoplasms,Lung Neoplasms,17096367,no
circulation_biomarker_diagnosis_down,hsa-let-7e,"Carcinoma, Hepatocellular","Carcinoma, Hepatocellular",17188425,no
circulation_biomarker_diagnosis_down,hsa-mir-125a,"Carcinoma, Hepatocellular","Carcinoma, Hepatocellular",17188425,no
circulation_biomarker_diagnosis_down,hsa-mir-99b,"Carcinoma, Hepatocellular","Carcinoma, Hepatocellular",17188425,no
circulation_biomarker_diagnosis_down,hsa-mir-1-1,"Cardiomyopathy, Hypertrophic","Cardiomyopathy, Hypertrophic",17234972,no
circulation_biomarker_diagnosis_down,hsa-mir-1-2,"Cardiomyopathy, Hypertrophic","Cardiomyopathy, Hypertrophic",17234972,no
circulation_biomarker_diagnosis_down,hsa-mir-15a,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",17327404,no
circulation_biomarker_diagnosis_down,hsa-mir-16,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",17327404,no
circulation_biomarker_diagnosis_down,hsa-mir-127,Thyroid Neoplasms,Thyroid Neoplasms,17355635,no
circulation_biomarker_diagnosis_down,hsa-mir-130a,Thyroid Neoplasms,Thyroid Neoplasms,17355635,no
